n,r,m
"(:inflation {id: e108})""""","[:contributed_by]""""","(:energy_price_dynamics {id: e3366})"""""
"(:inflation {id: e108})""""","[:contributed_by]""""","(:supply_bottlenecks {id: e3389})"""""
"(:inflation {id: e108})""""","[:contributed_by]""""","(:furniture {id: e4493})"""""
"(:inflation {id: e108})""""","[:contributed_by]""""","(:restaurants {id: e14628})"""""
"(:inflation {id: e108})""""","[:contributed_by]""""","(:utilities {id: e17235})"""""
"(:inflation {id: e108})""""","[:caused_by]""""","(:domestic_demand {id: e1894})"""""
"(:inflation {id: e108})""""","[:caused_by]""""","(:energy {id: e2211})"""""
"(:inflation {id: e108})""""","[:caused_by]""""","(:food_prices {id: e2758})"""""
"(:inflation {id: e108})""""","[:caused_by]""""","(:energy_prices {id: e3312})"""""
"(:inflation {id: e108})""""","[:caused_by]""""","(:supply_bottlenecks {id: e3389})"""""
"(:inflation {id: e108})""""","[:affects]""""","(:market_interest_rates {id: e3392})"""""
"(:inflation {id: e108})""""","[:affects]""""","(:public_finances {id: e9354})"""""
"(:inflation {id: e108})""""","[:affects]""""","(:primary_budget_balance {id: e13862})"""""
"(:inflation {id: e108})""""","[:affects]""""","(:interest_paid {id: e13867})"""""
"(:inflation {id: e108})""""","[:affected_by]""""","(:food_prices {id: e2758})"""""
"(:inflation {id: e108})""""","[:affected_by]""""","(:subsidies {id: e2931})"""""
"(:inflation {id: e108})""""","[:affected_by]""""","(:energy_prices {id: e3312})"""""
"(:inflation {id: e108})""""","[:affected_by]""""","(:short_term_effects {id: e4872})"""""
"(:inflation {id: e108})""""","[:affected_by]""""","(:governments_energy_subsidies {id: e12438})"""""
"(:inflation {id: e108})""""","[:response_to]""""","(:COVID_19_shock {id: e2672})"""""
"(:inflation {id: e108})""""","[:change_due_to]""""","(:energy_prices {id: e3312})"""""
"(:inflation {id: e108})""""","[:change_due_to]""""","(:base_effects {id: e12434})"""""
"(:inflation {id: e108})""""","[:change_due_to]""""","(:transitory_factors {id: e18548})"""""
"(:inflation {id: e108})""""","[:decline_due_to]""""","(:monetary_policy {id: e1227})"""""
"(:inflation {id: e108})""""","[:decline_due_to]""""","(:energy_costs {id: e3634})"""""
"(:inflation {id: e108})""""","[:decline_due_to]""""","(:supply_disruptions {id: e3929})"""""
"(:inflation {id: e108})""""","[:impact_on]""""","(:budget_balance {id: e2848})"""""
"(:inflation {id: e108})""""","[:increase_due_to]""""","(:demand {id: e1600})"""""
"(:inflation {id: e108})""""","[:increase_due_to]""""","(:energy_prices {id: e3312})"""""
"(:inflation {id: e108})""""","[:increase_due_to]""""","(:base_effects {id: e12434})"""""
"(:inflation {id: e108})""""","[:increase_due_to]""""","(:oil_price {id: e17661})"""""
"(:inflation {id: e108})""""","[:increase_due_to]""""","(:transitory_factors {id: e18548})"""""
"(:inflation {id: e108})""""","[:contribution_to_inflation_by]""""","(:energy_sector {id: e2258})"""""
"(:inflation {id: e108})""""","[:contribution_to_inflation_by]""""","(:hospitality_sector {id: e3333})"""""
"(:inflation {id: e108})""""","[:contribution_to_inflation_by]""""","(:furniture {id: e4493})"""""
"(:inflation {id: e108})""""","[:contribution_to_inflation_by]""""","(:household_equipment {id: e15755})"""""
"(:ECB_monetary_policy_measures {id: e109})""""","[:affected_factor]""""","(:demand_factors {id: e1516})"""""
"(:ECB_monetary_policy_measures {id: e109})""""","[:affected_factor]""""","(:supply_factors {id: e1517})"""""
"(:ECB_monetary_policy_measures {id: e109})""""","[:policy_time_start]""""","(:early_2015 {id: e1508})"""""
"(:ECB_monetary_policy_measures {id: e109})""""","[:policy_time_end]""""","(:end_of_2018 {id: e1510})"""""
"(:bn15 {id: bn15})""""","[:time]""""","(:December_2019 {id: e94})"""""
"(:bn15 {id: bn15})""""","[:value]""""","(:_1_point_3percent {id: e95})"""""
"(:bn15 {id: bn15})""""","[:compare]""""","(:firms {id: e232})"""""
"(:bn15 {id: bn15})""""","[:compare]""""","(:households {id: e740})"""""
"(:bn15 {id: bn15})""""","[:show_loss_of]""""","(:government {id: e1782})"""""
"(:bn15 {id: bn15})""""","[:supported_recovery_of]""""","(:aggregate_demand {id: e2203})"""""
"(:bn15 {id: bn15})""""","[:PLACEHOLDER]""""","(:firms {id: e232})"""""
"(:bn15 {id: bn15})""""","[:PLACEHOLDER]""""","(:households {id: e740})"""""
"(:bn15 {id: bn15})""""","[:PLACEHOLDER]""""","(:government {id: e1782})"""""
"(:bn15 {id: bn15})""""","[:PLACEHOLDER]""""","(:aggregate_demand {id: e2203})"""""
"(:bn16 {id: bn16})""""","[:new_value]""""","(:_1_point_3percent {id: e95})"""""
"(:bn16 {id: bn16})""""","[:previous_value]""""","(:_1_point_0percent {id: e97})"""""
"(:bn16 {id: bn16})""""","[:to_time]""""","(:December_2019 {id: e94})"""""
"(:bn16 {id: bn16})""""","[:from_time]""""","(:November_2019 {id: e96})"""""
"(:bn19 {id: bn19})""""","[:factor_2]""""","(:economic_expansion {id: e110})"""""
"(:bn19 {id: bn19})""""","[:factor_3]""""","(:solid_wage_growth {id: e111})"""""
"(:bn19 {id: bn19})""""","[:factor_1]""""","(:ECB_monetary_policy_measures {id: e109})"""""
"(:broad_money_M3_growth {id: e112})""""","[:has_growth_rate]""""","(:bn20 {id: bn20})"""""
"(:bn20 {id: bn20})""""","[:growth_rate_value]""""","(:_5_point_6percent {id: e113})"""""
"(:bn20 {id: bn20})""""","[:in_month]""""","(:November_2019 {id: e96})"""""
"(:broad_money_growth_contributor {id: e114})""""","[:is_main_contributor]""""","(:narrow_monetary_aggregate_M1 {id: e115})"""""
"(:narrow_monetary_aggregate_M1 {id: e115})""""","[:includes]""""","(:most_liquid_components {id: e688})"""""
"(:policy {id: e116})""""","[:is_stance_of]""""","(:ECB_accommodative_monetary_policy_stance {id: e117})"""""
"(:policy {id: e116})""""","[:reflected_in]""""","(:bank_lending_rates {id: e118})"""""
"(:policy {id: e116})""""","[:helped]""""","(:non_construction_investment_recovery {id: e21986})"""""
"(:annual_growth_rate_loans_households {id: e119})""""","[:has_annual_growth_rate]""""","(:bn21 {id: bn21})"""""
"(:bn21 {id: bn21})""""","[:growth_rate_value]""""","(:_3_point_5percent {id: e120})"""""
"(:bn21 {id: bn21})""""","[:in_month]""""","(:November_2019 {id: e96})"""""
"(:_3_point_5percent {id: e120})""""","[:in_year]""""","(:_2023 {id: e3732})"""""
"(:_3_point_5percent {id: e120})""""","[:decreased_from]""""","(:_4_point_1percent {id: e5792})"""""
"(:annual_growth_rate_loans_non_financial_corporations {id: e121})""""","[:moderated_to]""""","(:bn22 {id: bn22})"""""
"(:bn22 {id: bn22})""""","[:to_value]""""","(:_3_point_4percent {id: e123})"""""
"(:bn22 {id: bn22})""""","[:from_month]""""","(:October {id: e122})"""""
"(:bn22 {id: bn22})""""","[:from_value]""""","(:_3_point_8percent {id: e124})"""""
"(:_3_point_8percent {id: e124})""""","[:occurred_in]""""","(:first_quarter_of_2020 {id: e672})"""""
"(:_3_point_8percent {id: e124})""""","[:by]""""","(:_2022 {id: e404})"""""
"(:credit_standards_loans {id: e125})""""","[:applies_to]""""","(:loans_to_firms {id: e126})"""""
"(:credit_standards_loans {id: e125})""""","[:applies_to]""""","(:loans_to_households_for_house_purchase {id: e127})"""""
"(:Governing_Council_accommodative_monetary_policy_stance {id: e128})""""","[:helps_to_safeguard]""""","(:safeguard_favourable_bank_lending_conditions {id: e129})"""""
"(:Governing_Council_accommodative_monetary_policy_stance {id: e128})""""","[:supports]""""","(:support_access_to_financing {id: e130})"""""
"(:support_access_to_financing {id: e130})""""","[:supports_enterprise_type]""""","(:small_and_medium_sized_enterprises {id: e132})"""""
"(:support_access_to_financing {id: e130})""""","[:supports_sector]""""","(:all_economic_sectors {id: e131})"""""
"(:Governing_Council {id: e133})""""","[:expects_interest_rates]""""","(:bn24 {id: bn24})"""""
"(:Governing_Council {id: e133})""""","[:confirmed_necessity_of]""""","(:monetary_accommodation {id: e139})"""""
"(:Governing_Council {id: e133})""""","[:confirmed_necessity]""""","(:ample_degree_of_monetary_accommodation {id: e134})"""""
"(:Governing_Council {id: e133})""""","[:has_expectation_condition]""""","(:inflation_outlook {id: e145})"""""
"(:Governing_Council {id: e133})""""","[:made_decision]""""","(:key_ECB_interest_rates {id: e142})"""""
"(:Governing_Council {id: e133})""""","[:requires_for_rate_change]""""","(:inflation_outlook {id: e145})"""""
"(:ample_degree_of_monetary_accommodation {id: e134})""""","[:is_for]""""","(:inflation_convergence {id: e135})"""""
"(:inflation_convergence {id: e135})""""","[:has_condition]""""","(:bn23 {id: bn23})"""""
"(:bn23 {id: bn23})""""","[:is_below]""""","(:below_2_percent {id: e136})"""""
"(:bn23 {id: bn23})""""","[:is_for_timeframe]""""","(:medium_term {id: e107})"""""
"(:economic_analysis {id: e137})""""","[:is_for_decisions_on]""""","(:monetary_accommodation {id: e139})"""""
"(:economic_analysis {id: e137})""""","[:combined_with]""""","(:monetary_analysis {id: e138})"""""
"(:monetary_analysis {id: e138})""""","[:used_with]""""","(:economic_analysis {id: e137})"""""
"(:target_inflation_level {id: e140})""""","[:is_below]""""","(:below_2_percent {id: e136})"""""
"(:target_inflation_level {id: e140})""""","[:is_for_timeframe]""""","(:medium_term {id: e107})"""""
"(:target_inflation_level {id: e140})""""","[:defined_by]""""","(:Governing_Council {id: e133})"""""
"(:key_ECB_interest_rates {id: e142})""""","[:decision_result]""""","(:unchanged {id: e63})"""""
"(:bn24 {id: bn24})""""","[:interest_rate_level_present]""""","(:present_levels {id: e143})"""""
"(:bn24 {id: bn24})""""","[:necessary_for]""""","(:ECB_policy_rates {id: e155})"""""
"(:bn24 {id: bn24})""""","[:interest_rate_level_lower]""""","(:lower_levels {id: e144})"""""
"(:inflation_outlook {id: e145})""""","[:convergence_to_level]""""","(:convergence {id: e146})"""""
"(:inflation_outlook {id: e145})""""","[:expected_convergence]""""","(:convergence {id: e146})"""""
"(:convergence {id: e146})""""","[:target_level]""""","(:level_sufficiently_close_to_but_below_2percent {id: e147})"""""
"(:convergence {id: e146})""""","[:consistently_reflected_in]""""","(:underlying_inflation_dynamics {id: e149})"""""
"(:convergence {id: e146})""""","[:within_projection_horizon]""""","(:projection_horizon {id: e148})"""""
"(:convergence {id: e146})""""","[:enhanced_by]""""","(:central_fiscal_capacity {id: e5013})"""""
"(:Governing_Council {id: e150})""""","[:has_view_on]""""","(:inflation {id: e108})"""""
"(:Governing_Council {id: e150})""""","[:responds_to]""""","(:current_market_tensions {id: e12061})"""""
"(:Governing_Council {id: e150})""""","[:take_into_account]""""","(:cost_of_owner_occupied_housing {id: e4708})"""""
"(:Governing_Council {id: e150})""""","[:confirmed_the]""""","(:forward_guidance {id: e172})"""""
"(:Governing_Council {id: e150})""""","[:will_continue_reducing]""""","(:asset_purchases {id: e3294})"""""
"(:Governing_Council {id: e150})""""","[:calibrate]""""","(:reserve_remuneration {id: e3443})"""""
"(:Governing_Council {id: e150})""""","[:previous_meeting]""""","(:monetary_policy_meeting_In_December {id: e3379})"""""
"(:Governing_Council {id: e150})""""","[:prefers]""""","(:net_acquisition_approach {id: e4406})"""""
"(:Governing_Council {id: e150})""""","[:in_favour_of]""""","(:OOH {id: e4398})"""""
"(:Governing_Council {id: e150})""""","[:confirmed_the_level_of]""""","(:key_ECB_interest_rates {id: e156})"""""
"(:Governing_Council {id: e150})""""","[:needs_to_maintain]""""","(:flexibility_and_optionality {id: e3298})"""""
"(:Governing_Council {id: e150})""""","[:confirmed_to_support]""""","(:ECBs_price_stability_mandate {id: e3447})"""""
"(:Governing_Council {id: e150})""""","[:views]""""","(:risks {id: e615})"""""
"(:Governing_Council {id: e150})""""","[:intends_to_continue]""""","(:reinvesting {id: e157})"""""
"(:Governing_Council {id: e150})""""","[:revised]""""","(:asset_purchase_programme_APP {id: e711})"""""
"(:Governing_Council {id: e150})""""","[:expectation_for]""""","(:near_term_economic_activity {id: e5056})"""""
"(:Governing_Council {id: e150})""""","[:prepared_to_adjust]""""","(:inflation {id: e108})"""""
"(:Governing_Council {id: e150})""""","[:committed_to]""""","(:strategic_commitment {id: e10199})"""""
"(:Governing_Council {id: e150})""""","[:assess_calibration]""""","(:two_tier_system {id: e3442})"""""
"(:Governing_Council {id: e150})""""","[:confirmed_its_measures_to_support_]""""","(:ECBs_price_stability_mandate {id: e3447})"""""
"(:Governing_Council {id: e150})""""","[:anticipates]""""","(:interest_rates {id: e3500})"""""
"(:Governing_Council {id: e150})""""","[:discussed]""""","(:asset_purchase_programme_APP {id: e711})"""""
"(:Governing_Council {id: e150})""""","[:made_decision_with_unspecified_time]""""","(:corporate_bond_purchases {id: e5243})"""""
"(:Governing_Council {id: e150})""""","[:follows]""""","(:data_dependent_approach {id: e12054})"""""
"(:Governing_Council {id: e150})""""","[:responsible_for]""""","(:increase {id: e1830})"""""
"(:Governing_Council {id: e150})""""","[:needs_to_adjust_instruments]""""","(:inflation {id: e108})"""""
"(:Governing_Council {id: e150})""""","[:Decided_to_raise_by]""""","(:_50_basis_points {id: e5019})"""""
"(:Governing_Council {id: e150})""""","[:Trying_to_ensure_timely_return_of_inflation]""""","(:_2percent_medium_term_target {id: e5016})"""""
"(:Governing_Council {id: e150})""""","[:aims_to_return_inflation_target_over]""""","(:medium_term {id: e171})"""""
"(:Governing_Council {id: e150})""""","[:judges_over]""""","(:coronavirus_crisis_phase {id: e1683})"""""
"(:Governing_Council {id: e150})""""","[:will_consider_aspect_of]""""","(:underlying_inflation {id: e2005})"""""
"(:Governing_Council {id: e150})""""","[:expects_for]""""","(:the_key_ECB_interest_rates {id: e10192})"""""
"(:Governing_Council {id: e150})""""","[:stands_ready_to]""""","(:adjust {id: e8941})"""""
"(:Governing_Council {id: e150})""""","[:provides_support_to]""""","(:euro_area_financial_system {id: e6467})"""""
"(:Governing_Council {id: e150})""""","[:decided_to_conduct]""""","(:LTROs {id: e6468})"""""
"(:Governing_Council {id: e150})""""","[:will_continue]""""","(:flexibility {id: e5247})"""""
"(:Governing_Council {id: e150})""""","[:aims_for_inflation_rate]""""","(:_2percent {id: e1513})"""""
"(:Governing_Council {id: e150})""""","[:ensures_transmission_of]""""","(:ECBs_monetary_policy {id: e14344})"""""
"(:Governing_Council {id: e150})""""","[:decision_time]""""","(:March_meeting {id: e12274})"""""
"(:Governing_Council {id: e150})""""","[:intends_to_reinvest]""""","(:principal_payments {id: e158})"""""
"(:Governing_Council {id: e150})""""","[:will_determine]""""","(:policy_rate_decisions {id: e12056})"""""
"(:Governing_Council {id: e150})""""","[:intend_to_raise]""""","(:_50_basis_points {id: e5019})"""""
"(:Governing_Council {id: e150})""""","[:next_meeting_month]""""","(:March {id: e5203})"""""
"(:Governing_Council {id: e150})""""","[:will_continue_to_follow]""""","(:data_dependent_approach {id: e12054})"""""
"(:Governing_Council {id: e150})""""","[:maintain]""""","(:accommodative_monetary_policy_stance {id: e18628})"""""
"(:Governing_Council {id: e150})""""","[:decision_not_prejudiced_to]""""","(:ECBs_price_stability_objective {id: e5245})"""""
"(:Governing_Council {id: e150})""""","[:stands_ready_to_adjust_instruments_to_stabilize_inflation]""""","(:_2percent_target {id: e6658})"""""
"(:Governing_Council {id: e150})""""","[:expects_convergence]""""","(:inflation_outlook {id: e174})"""""
"(:Governing_Council {id: e150})""""","[:ready_to_adjust]""""","(:instruments {id: e1618})"""""
"(:Governing_Council {id: e150})""""","[:next_meeting_at]""""","(:March_2023 {id: e5032})"""""
"(:Governing_Council {id: e150})""""","[:expects_to_end]""""","(:net_asset_purchases {id: e6541})"""""
"(:Governing_Council {id: e150})""""","[:Decided_to_raise]""""","(:three_key_ECB_interest_rates {id: e5017})"""""
"(:Governing_Council {id: e150})""""","[:decided_to_ease_conditions_on]""""","(:TLTRO_III {id: e1546})"""""
"(:Governing_Council {id: e150})""""","[:intend_to_reinvest_beyond_starting_to_raise]""""","(:key_ECB_interest_rates {id: e156})"""""
"(:Governing_Council {id: e150})""""","[:aim_to_ensure_inflation_towards]""""","(:medium_term_inflation {id: e6503})"""""
"(:Governing_Council {id: e150})""""","[:committed_to_inflation_aim]""""","(:inflation {id: e108})"""""
"(:Governing_Council {id: e150})""""","[:conclude_net_purchases_in]""""","(:third_quarter {id: e474})"""""
"(:Governing_Council {id: e150})""""","[:aims_to_counter]""""","(:monetary_policy_transmission_mechanism {id: e5249})"""""
"(:Governing_Council {id: e150})""""","[:decisions_for]""""","(:all_sectors_of_the_economy {id: e8929})"""""
"(:Governing_Council {id: e150})""""","[:decided_to_keep]""""","(:key_ECB_interest_rates {id: e156})"""""
"(:Governing_Council {id: e150})""""","[:continue_to_provide]""""","(:ample_liquidity {id: e1701})"""""
"(:Governing_Council {id: e150})""""","[:will_continue_to_monitor]""""","(:developments_in_the_exchange_rate {id: e8937})"""""
"(:Governing_Council {id: e150})""""","[:Intends_to_raise_by]""""","(:_50_basis_points {id: e5019})"""""
"(:Governing_Council {id: e150})""""","[:Policy_meeting_scheduled_for]""""","(:next_monetary_policy_meeting_in_March {id: e5020})"""""
"(:Governing_Council {id: e150})""""","[:aimed_to_preserve]""""","(:favourable_financing_conditions {id: e528})"""""
"(:Governing_Council {id: e150})""""","[:raised]""""","(:deposit_facility_rate {id: e62})"""""
"(:Governing_Council {id: e150})""""","[:consider_revising]""""","(:self_imposed_limits {id: e6574})"""""
"(:Governing_Council {id: e150})""""","[:decided_to]""""","(:extend {id: e10433})"""""
"(:Governing_Council {id: e150})""""","[:expects_duration_of]""""","(:monthly_net_asset_purchases {id: e14314})"""""
"(:Governing_Council {id: e150})""""","[:aims_for_inflation]""""","(:inflation {id: e108})"""""
"(:Governing_Council {id: e150})""""","[:took_policy_measures]""""","(:early_March {id: e7109})"""""
"(:Governing_Council {id: e150})""""","[:decided_on_removal_of]""""","(:_0percent_interest_rate_ceiling {id: e13714})"""""
"(:Governing_Council {id: e150})""""","[:decisions_to_safeguard]""""","(:medium_term_price_stability {id: e1613})"""""
"(:Governing_Council {id: e150})""""","[:plan_to_continue_reinvesting_for]""""","(:extended_period_of_time {id: e161})"""""
"(:Governing_Council {id: e150})""""","[:monitor_for]""""","(:medium_term_inflation_outlook {id: e1617})"""""
"(:Governing_Council {id: e150})""""","[:conducted_purchases]""""","(:pandemic_emergency_purchase_programme_PEPP {id: e1680})"""""
"(:Governing_Council {id: e150})""""","[:decision_aligns_with]""""","(:Paris_Agreement {id: e5048})"""""
"(:Governing_Council {id: e150})""""","[:revise_schedule_for]""""","(:monthly_net_purchases {id: e10370})"""""
"(:Governing_Council {id: e150})""""","[:climate_action_plan_supports]""""","(:Eurosystem {id: e191})"""""
"(:Governing_Council {id: e150})""""","[:assess_decline_pace]""""","(:APP_portfolio {id: e5030})"""""
"(:Governing_Council {id: e150})""""","[:continue_to_provide_ample_liquidity_through]""""","(:refinancing_operations {id: e1702})"""""
"(:Governing_Council {id: e150})""""","[:committed_to_supporting]""""","(:citizens_of_the_euro_area {id: e14343})"""""
"(:Governing_Council {id: e150})""""","[:intends_to_reinvest_until]""""","(:end_of_2024 {id: e10401})"""""
"(:Governing_Council {id: e150})""""","[:indicated_need_for]""""","(:additional_policy_tightening {id: e5661})"""""
"(:Governing_Council {id: e150})""""","[:sees]""""","(:risks {id: e615})"""""
"(:Governing_Council {id: e150})""""","[:adjusts_PEPP_duration]""""","(:PEPP {id: e1689})"""""
"(:Governing_Council {id: e150})""""","[:assessing_contribution]""""","(:monetary_policy_stance {id: e1551})"""""
"(:Governing_Council {id: e150})""""","[:following]""""","(:monetary_policy_strategy {id: e5206})"""""
"(:Governing_Council {id: e150})""""","[:Expects_to_raise_further]""""","(:interest_rates {id: e3500})"""""
"(:Governing_Council {id: e150})""""","[:monitoring]""""","(:current_market_tensions {id: e12061})"""""
"(:Governing_Council {id: e150})""""","[:mentioned_policy_measures]""""","(:policy_measures {id: e2828})"""""
"(:Governing_Council {id: e150})""""","[:met_on]""""","(:_2_February_2023 {id: e5026})"""""
"(:Governing_Council {id: e150})""""","[:raise]""""","(:interest_rates {id: e3500})"""""
"(:Governing_Council {id: e150})""""","[:plans_to_continue_applying]""""","(:flexibility {id: e5247})"""""
"(:Governing_Council {id: e150})""""","[:intend_to_continue]""""","(:reinvesting {id: e157})"""""
"(:Governing_Council {id: e150})""""","[:set]""""","(:initial_multiplier {id: e7414})"""""
"(:Governing_Council {id: e150})""""","[:communicated_in]""""","(:December {id: e196})"""""
"(:Governing_Council {id: e150})""""","[:looks_for_progress_in]""""","(:underlying_inflation {id: e2005})"""""
"(:Governing_Council {id: e150})""""","[:decided_stronger_tilting]""""","(:corporate_bond_purchases {id: e5243})"""""
"(:Governing_Council {id: e150})""""","[:reason_for_increase]""""","(:timely_return {id: e12316})"""""
"(:Governing_Council {id: e150})""""","[:decided_modalities]""""","(:detailed_modalities {id: e5212})"""""
"(:Governing_Council {id: e150})""""","[:expects_rate_levels]""""","(:present_levels {id: e10203})"""""
"(:Governing_Council {id: e150})""""","[:not_terminate_before]""""","(:end_of_the_year {id: e1970})"""""
"(:Governing_Council {id: e150})""""","[:evaluate_after_raise]""""","(:monetary_policy {id: e1227})"""""
"(:Governing_Council {id: e150})""""","[:intends_to_continue_reinvesting]""""","(:an_extended_period_of_time {id: e10380})"""""
"(:Governing_Council {id: e150})""""","[:took_decision_on]""""","(:_11_March_2021 {id: e8926})"""""
"(:Governing_Council {id: e150})""""","[:approach_purpose]""""","(:Eurosystem {id: e191})"""""
"(:Governing_Council {id: e150})""""","[:decision_date]""""","(:September_2022 {id: e5599})"""""
"(:Governing_Council {id: e150})""""","[:terminate]""""","(:net_asset_purchases {id: e6541})"""""
"(:Governing_Council {id: e150})""""","[:mandated]""""","(:Eurosystem_committees {id: e6491})"""""
"(:Governing_Council {id: e150})""""","[:ensures_future_decisions]""""","(:policy_rates {id: e1523})"""""
"(:Governing_Council {id: e150})""""","[:will_continue_to_reduce]""""","(:APP_portfolio {id: e5030})"""""
"(:Governing_Council {id: e150})""""","[:purpose_of_continued_investment]""""","(:ample_degree_of_monetary_accommodation {id: e164})"""""
"(:Governing_Council {id: e150})""""","[:adjust_to_ensure]""""","(:inflation {id: e108})"""""
"(:Governing_Council {id: e150})""""","[:protect_functionality_of]""""","(:monetary_policy_transmission_mechanism {id: e5249})"""""
"(:Governing_Council {id: e150})""""","[:effort_to_achieve_goal_with_help_from]""""","(:flexibility {id: e5247})"""""
