n,r,m
Governing Council,expects monthly net asset purchases duration for,Asset Purchase Programme APP
Governing Council,decided reinvestment until,end of 2022
Governing Council,seeks to ensure,negative interest rate policy
Governing Council,to take final decision,pandemic collateral easing measures
Governing Council,willing to incorporate,flexibility
Governing Council,decided to increase and extend,pandemic emergency purchase programme PEPP
Governing Council,targeted lending operations contribute to,monetary policy
Governing Council,commits to,monetary policy
Governing Council,aiming to counter risks related to,pandemic
Governing Council,prepared to take action for,ECB
Governing Council,continue applying,flexibility
Governing Council,has discretion to deviate from,credit rating agencies
Governing Council,expects to discontinue,reinvestments
Governing Council,concluded about APP,net asset purchases
Governing Council,announcement on,11 March
Governing Council,expectation reinforced by incoming data,asset purchase programme APP
Governing Council,decision based on,banks demand for liquidity
Governing Council,expects conclusion of,net asset purchases
Governing Council,reconfirm policy stance,accommodative monetary policy stance
Governing Council,stated about,adjustments
Governing Council,raised interest rates on,4 May 2023
Governing Council,objective is a return to,medium term target
Governing Council,aims to stabilize,inflation
Governing Council,objective is to preserve,monetary policy transmission
Governing Council,perceives,war in Ukraine
Governing Council,objective is to return,inflation
Governing Council,aims to return,inflation
Governing Council,decided to reinvest,maturing principal payments
Governing Council,assess contribution to,monetary policy stance
Governing Council,plans to continue,monetary policy
Governing Council,will manage,future roll off
Governing Council,reinvest flexibly,redemptions
Governing Council,adjust instruments to ensure movement towards,inflation
Governing Council,assessed path,interest rates
Governing Council,incorporate,flexibility
Governing Council,approach follows,policy sequencing
Governing Council,purpose of assessment,monetary policy stance
Governing Council,intends to reinvest until at least,end of 2024
Governing Council,conducts purchases,market conditions
Governing Council,watches closely,factors affecting financial stability
Governing Council,Expected Purchase Pace Increase During,second quarter
Governing Council,aims to stabilize inflation at,2percent
Governing Council,applying flexibility to counter,monetary policy transmission mechanism
Governing Council,undertook,assessment
Governing Council,is determined to ensure,2percent medium term target
Governing Council,aiming to counter,risks
Governing Council,Expected Purchase Pace Over Period,second quarter
Governing Council,will reinvest,principal payments
Governing Council,will maintain throughout the process of normalizing,monetary policy
Governing Council,made announcement regarding,reinvestments under the APP
Governing Council,plans to reinvest,principal payments
Governing Council,will maintain in the conduct of,monetary policy
Governing Council,ensure movement towards by adjusting,inflation aim
Governing Council,Announcement Date,11 March
Governing Council,intend to raise at,July monetary policy meeting
Governing Council,efforts made more effective by,flexibility
Governing Council,raised interest rates because,ECBs medium term target
Governing Council,aims to stabilize inflation over,medium term
Governing Council,has committed to reinvest until,end of 2024
Governing Council,apply flexibility to,reinvesting redemptions
Governing Council,Raise on,16 March 2023
Governing Council,Raise on,4 May
Governing Council,will conclude,coronavirus crisis phase
Governing Council,plans to reinvest in,PEPP
Governing Council,intend to raise by,25 basis points
Governing Council,reconfirm,accommodative monetary policy stance
Governing Council,committed,2percent medium term target
Governing Council,will ensure future decisions regarding,ECB interest rates
Governing Council,monitor developments for implications,medium term inflation outlook
Governing Council,decided to normalize,monetary policy
Governing Council,announcement in,May meeting
Governing Council,aim to influence by monitoring,medium term inflation outlook
Governing Council,pace depend on,incoming data
Governing Council,decided to mandate,Eurosystem Committees
Governing Council,will ensure,ECB interest rates
Governing Council,decided to take further steps,further steps
Governing Council,plan to adjust at,July monetary policy meeting
Governing Council,decided to end,net asset purchases
Governing Council,aims to manage,future roll off
Governing Council,plans to,reinvest
Governing Council,prepared to make,adjustments
Governing Council,performs,assessment
Governing Council,related to,key ECB interest rates
Governing Council,will stop reinvesting when not needed for,favourable liquidity conditions
Governing Council,will stop reinvesting when not needed for,ample degree of monetary accommodation
Governing Council,combined,economic analysis
Governing Council,combined,monetary analysis
Governing Council,maintain policy stance to preserve,favourable financing conditions
Governing Council,decided to leave unchanged,interest rates
Governing Council,might adjust,instruments
Governing Council,Raise by,25 basis points
Governing Council,Raise by,50 basis points
Governing Council,increased by,50 basis points
Governing Council,ensure by adjusting,inflation
Governing Council,expects APP to reinforce,the accommodative impact of its policy rates
Governing Council,decided to launch,review
Governing Council,decided to launch,PELTROs
Governing Council,announced,revision
Governing Council,decided to increase,key ECB interest rates
Governing Council,decided to increase,increase
Governing Council,decided to increase,envelope for the PEPP
Governing Council,raise amount,25 basis points
Governing Council,raise amount,50 basis points
Governing Council,prepared to make adjustments for,medium term target
Governing Council,has goals,appropriate monetary policy stance
Governing Council,has goals,ample liquidity conditions
Governing Council,applied terms to,TLTRO III
Governing Council,adopted,action plan
Governing Council,decided,unchanged
Governing Council,decided,TLTRO III
Governing Council,decided,modalities
Governing Council,decided,flexibility
Governing Council,decided,comprehensive package of monetary policy measures
Governing Council,pursues,price stability mandate
Governing Council,pursues,ECBs price stability mandate
Governing Council,assess,targeted lending operations
Governing Council,assess,two tier system
Governing Council,assess,lending operations
Governing Council,assess,repayment
Governing Council,decided to raise,three key ECB interest rates
Governing Council,decided to raise,ECB interest rates
Governing Council,judges,inflation
Governing Council,judges,economic growth
Governing Council,Decided To Increase,main refinancing operations
Governing Council,Decided To Increase,marginal lending facility
Governing Council,Decided To Increase,deposit facility
Governing Council,assess contribution,monetary policy stance
Governing Council,assess contribution,targeted lending operations
Governing Council,monitor implications for,economy
Governing Council,monitor implications for,transmission of monetary policy
Governing Council,monitor implications for,medium term inflation
Governing Council,had meeting on,January 2020
Governing Council,had meeting on,14 April 2022
Governing Council,had meeting on,4 June
Governing Council,had meeting on,15 June 2023
Governing Council,intends to continue reinvesting for,bn25
Governing Council,intends to continue reinvesting for,favourable liquidity conditions
Governing Council,intends to continue reinvesting for,ample degree of monetary accommodation
Governing Council,aims to maintain,favourable liquidity conditions
Governing Council,aims to maintain,ample degree of monetary accommodation
Governing Council,aims to maintain,short term money market conditions
Governing Council,will include,inflation measures
Governing Council,announcement regarding,asset purchase programme APP
Governing Council,aims to see,inflation outlook
Governing Council,recommended,net acquisition approach
Governing Council,Raise Interest Rate By,50 basis points
Governing Council,plans to continue reinvestments past,key ECB interest rates
Governing Council,reiterated need for,a highly accommodative stance of monetary policy
Governing Council,take action regarding,principal payments
Governing Council,will assess,inflation outlook
Governing Council,will assess,targeted lending operations
Governing Council,will assess,two tier system
Governing Council,will maintain,flexibility
Governing Council,will maintain,optionality
Governing Council,will maintain,gradualism
Governing Council,will maintain,data dependence
Governing Council,expects APP duration,the accommodative impact of its policy rates
Governing Council,adjusts,instruments
Governing Council,preserves,financial stability
Governing Council,preserves,price stability
Governing Council,aims to maintain with reinvesting,favourable liquidity conditions
Governing Council,aims to maintain with reinvesting,ample degree of monetary accommodation
Governing Council,expected to discontinue,asset purchase programme APP
Governing Council,decided adjustment for,bn230
Governing Council,reinvest until,2024
Governing Council,reinvest until,end of 2024
Governing Council,has commitment,commitment to symmetry
Governing Council,policy measures aim at,private sector entities
Governing Council,regularly assess,lending operations
Governing Council,regularly assess,repayment
Governing Council,Raise,key ECB interest rates
Governing Council,Raise,interest rates
Governing Council,prepared to,adjust all of its instruments
Governing Council,aims to ensure,monetary policy strategy
Governing Council,aims to ensure,operations under TLTRO III
Governing Council,provides support for,underlying inflation pressures
Governing Council,provides support for,headline inflation developments
Governing Council,continue to reinvest,principal payments
Governing Council,plans to reinvest until,extended period of time
Governing Council,expects,key ECB interest rates
Governing Council,ensures monetary policy transmission,economy
Governing Council,ensures monetary policy transmission,jurisdictions
Governing Council,confirmed continuation of,ECBs asset purchase programme
Governing Council,stand ready to adjust,instruments
Governing Council,stand ready to adjust,all of its instruments
Governing Council,reiterated outlook,inflation
Governing Council,does not see,money markets
Governing Council,does not see,banking system
Governing Council,intention to continue reinvesting for,favourable liquidity conditions
Governing Council,intention to continue reinvesting for,ample degree of monetary accommodation
Governing Council,intends to,reinvesting
Governing Council,intends to,reinvest
Governing Council,intends to maintain,favourable liquidity conditions
Governing Council,intends to maintain,ample degree of monetary accommodation
Governing Council,monitor,coronavirus
Governing Council,monitor,bank funding conditions
Governing Council,monitor,developments in the exchange rate
Governing Council,monitor,exchange rate developments
Governing Council,conducts,TLTRO III
Governing Council,will maintain in monetary policy,flexibility
Governing Council,will maintain in monetary policy,optionality
Governing Council,will maintain in monetary policy,gradualism
Governing Council,provides,ample liquidity
Governing Council,makes,policy decisions
Governing Council,assessment influenced by,economic and financial data
Governing Council,prepared to increase,PEPP
Governing Council,stands ready to adjust,all of its instruments
Governing Council,stands ready to adjust,its instruments
Governing Council,stands ready to adjust,all instruments
Governing Council,decided on,monetary policy measures
Governing Council,decided on,4 June 2020
Governing Council,decided on,10 June 2021
Governing Council,relates to,key ECB interest rates
Governing Council,need to evaluate,measures
Governing Council,do until,end of 2023
Governing Council,confirmed,ample degree of monetary accommodation
Governing Council,confirmed,policy measures
Governing Council,confirmed,decisions
Governing Council,confirmed,monthly net purchases
Governing Council,confirmed,very accommodative monetary policy stance
Governing Council,decided based on,bn231
Governing Council,decided based on,joint assessment of financing conditions and the inflation outlook
Governing Council,decided based on,joint assessment
Governing Council,decided based on,updated assessment
Governing Council,aims to preserve,monetary policy transmission
Governing Council,aims to preserve,market functioning
Governing Council,apply flexibility in,PEPP portfolio
Governing Council,has target,target inflation rate
Governing Council,has target,inflation target
Governing Council,target,2percent inflation target
Governing Council,plans to keep,reinvesting
Governing Council,want to maintain by continuing to reinvest,favourable liquidity conditions
Governing Council,want to maintain by continuing to reinvest,ample degree of monetary accommodation
Governing Council,Future policy rate decisions,future policy rate decisions
Governing Council,expected purchase pace increase for PEPP over,second quarter
Governing Council,stop reinvesting,end of 2023
Governing Council,ensure,inflation
Governing Council,ensure,monetary policy
Governing Council,ensure,TLTRO III
Governing Council,plan to raise by,50 basis points
Governing Council,aims to achieve,price stability
Governing Council,aims to achieve,goal
Governing Council,aims to achieve,below but close to 2percent
Governing Council,determines,path
Governing Council,previous assessment,baseline assessment
Governing Council,left unchanged,marginal lending facility rates
Governing Council,left unchanged,ECBs deposit facility rate
Governing Council,left unchanged,main refinancing operations rates
Governing Council,plans to continue reinvesting,extended period of time
Governing Council,Decision in,May
Governing Council,Decision in,second half of March
Governing Council,monitors,exchange rate
ECBs asset purchase programme,to run until,bn24
ECBs asset purchase programme,expected to end prior to,key ECB interest rates
ECBs asset purchase programme,involves,net purchases
net purchases,related to,pandemic
net purchases,includes,APP
net purchases,includes,PEPP
net purchases,has frequency,monthly pace
net purchases,has amount,Euro20 billion
net purchases,occurred in,November 2019
net purchases,part of,asset purchase programme APP
net purchases,part of,asset purchase programmes
net purchases,form of,OOH
net purchases,under,APP
net purchases,under,asset purchase programme APP
net purchases,under,PEPP
net purchases,under,asset purchase programmes
net purchases,related to negative shocks from,pandemic
net purchases,at pace of,20 billion
net purchases,primarily under,PEPP
net purchases,continuing under,APP
net purchases,can be resumed to counter,negative shocks
net purchases,can be resumed,negative shocks
net purchases,could be resumed under,PEPP reinvestments
net purchases,dried up in,2022
net purchases,Under programmes,APP
net purchases,Under programmes,PEPP
net purchases,possible reason for resumption,negative shocks
ECB policy rates,includes,marginal lending facility
ECB policy rates,includes,deposit facility
ECB policy rates,includes,MRO
ECB policy rates,status during,review period
ECB policy rates,status during review period,review period
ECB policy rates,mentioned as unchanged during,this review period
ECB policy rates,mentioned as unchanged,this review period
ECB policy rates,left unchanged during,review period
key ECB interest rates,associated with,raising
key ECB interest rates,increased by,50 basis points
key ECB interest rates,to remain at level,0 point 00percent
key ECB interest rates,to remain at level,0 point 25percent
key ECB interest rates,rose by,300 basis points
key ECB interest rates,state,unchanged
key ECB interest rates,expected to remain,present levels
key ECB interest rates,determined by,Governing Councils forward guidance
key ECB interest rates,change condition,inflation level close to but below 2percent
key ECB interest rates,change condition,underlying inflation progress
key ECB interest rates,take place after,end of the Governing Councils net purchases under the APP
key ECB interest rates,increase date,16 March 2023
key ECB interest rates,adjusted by,adjustments
key ECB interest rates,expected to reach,lower levels
key ECB interest rates,path aligned with,2percent inflation stabilization
key ECB interest rates,remain at,present levels
key ECB interest rates,being discussed in relation to,APP Asset Purchase Programme
key ECB interest rates,Time,September
key ECB interest rates,IncreaseTime,April 2023
key ECB interest rates,rise started in,2022
key ECB interest rates,will be raised by,25 basis points
reinvesting,involves,principal payments
reinvesting,maintains,favourable liquidity conditions
reinvesting,maintains,ample degree of monetary accommodation
reinvesting,effect of continuing by,Governing Council
reinvesting,reason for continuing,ample degree of monetary accommodation
reinvesting,in full,principal payments
principal payments,from,maturing securities
principal payments,from,PEPP
principal payments,come from,maturing securities
principal payments,will be reinvested by,Governing Council
principal payments,from securities,maturing securities
principal payments,reinvested for reduction,Eurosystems holdings of securities
principal payments,comes from,maturing securities
principal payments,non reinvested by,Eurosystem
principal payments,for an extended period past,key ECB interest rates
principal payments,to continue at least to maintain,appropriate monetary policy stance
principal payments,to continue at least to maintain,ample liquidity conditions
principal payments,reinvested until,end of 2023
maturing securities,purchased under,APP
maturing securities,purchased under,PEPP
APP,contains,public sector purchase programme PSPP
APP,contains,asset backed securities purchase programme ABSPP
APP,contains,third covered bond purchase programme CBPP3
APP,contains,corporate sector purchase programme CSPP
APP,associated with,net asset purchases
APP,is related to,PEPP
APP,refers to,asset purchase programme portfolio
APP,part of,Eurosystems net purchases
APP,context of,continuous market presence
APP,impact on,labour market
APP,led to,money holding sector
APP,stands for,Asset Purchase Programme
APP,reactivation of,banks
APP,is also known as,asset purchase programme
APP,had dampening effect,composite bank lending rates for loans to NFCs
APP,had dampening effect,composite bank lending rates for loans to households
APP,includes asset categories,asset categories
APP,concluded in,June 2022
APP,constituent of,redemptions
APP,additional envelope amount,Euro120 billion
APP,Partially Offset By,net autonomous factors
APP,Resulted In Decrease Of,4 point 5 billion
APP,Conducted Asset Purchases,average excess liquidity
bn25,past event,raising the key ECB interest rates
bn25,time period,extended period of time
extended period of time,past the date of,key ECB interest rates
extended period of time,past the date,key ECB interest rates
extended period of time,past the date when it starts raising,key ECB interest rates
ample degree of monetary accommodation,necessary for,robust convergence of inflation
ample degree of monetary accommodation,is necessary for,robust convergence of inflation
outlook,has quality,subdued
outlook,in,2022
outlook,in,2021
outlook,in,2023
outlook,for,United Kingdom
outlook,for,economic activity
outlook,reflected in,June 2023 Eurosystem staff macroeconomic projections
outlook,status,unchanged
outlook,timeframe,2022
outlook,remains,expansionary
outlook,revised,revised up
outlook,interpret revisions,revisions
outlook,concern of,euro area
outlook,is due to,war in Ukraine
outlook,communicate,uncertainty
outlook,R Time,China
a highly accommodative stance of monetary policy,supports,underlying inflation pressures
a highly accommodative stance of monetary policy,supports,headline inflation developments
a highly accommodative stance of monetary policy,is required for time period,prolonged period of time
underlying inflation pressures,has time frame,medium term
underlying inflation pressures,increases throughout,projection horizon
headline inflation developments,has time frame,medium term
medium term,supported by,fiscal stance
medium term,defines support term,underlying inflation pressures
medium term,defines support term,headline inflation developments
medium term,reduce,financial stability
medium term,after impact,pandemic
medium term,with expected resumption in,global activity
medium term,supported by favorable,financing conditions
medium term,would lower,prices
forward guidance,issued by,Governing Council
forward guidance,ensures adjustment of,financial conditions
forward guidance,is about the,future path of policy rates
forward guidance,reduce uncertainty,interest rates
financial conditions,adjusts in accordance with,inflation outlook
financial conditions,associated with,positive risk sentiment
financial conditions,affecting,emerging market economies
financial conditions,observed during,review period
financial conditions,eased despite increase,increase in risk free yields
financial conditions,contributed by,easing impulses
financial conditions,experience in response to tightening of,US monetary policy shocks
financial conditions,causes reduction in,economic activity
financial conditions,has happened since,Governing Council meeting
financial conditions,remain supportive in,emerging market economies
financial conditions,remain supportive in,advanced economies
financial conditions,has not returned to levels before event,coronavirus COVID 19
financial conditions,observed in location,euro area
financial conditions,continued to tighten,euro area
inflation outlook,includes,underlying inflation
inflation outlook,reflected in,underlying inflation dynamics
inflation outlook,is in,euro area
inflation outlook,calls for,easier financial conditions
inflation outlook,to converge to level,2percent
inflation outlook,within horizon,projection horizon
inflation outlook,within,projection horizon
inflation outlook,crucial for,pandemic
inflation outlook,exists in,euro area
inflation outlook,exists in,the United States
inflation outlook,may increase due to,economic rebound in China
inflation outlook,may increase due to,inflation expectations
inflation outlook,may increase due to,higher wages
inflation outlook,convergence target,2percent within the projection horizon
inflation outlook,has balanced risk,existing pipeline pressures
inflation outlook,risk balance period,review period
inflation outlook,to reflect in,underlying inflation dynamics
inflation outlook,in light of,economic and financial data
inflation outlook,to reach level,2percent
inflation outlook,considered in,joint assessment
inflation outlook,be within,projection horizon
inflation outlook,is assessed as,too high for too long
inflation outlook,intensified around,near term
inflation outlook,converge to,level sufficiently close to but below 2percent
inflation outlook,occur within,projection horizon
inflation outlook,converge to level,2percent
inflation outlook,should occur within,projection horizon
inflation outlook,robustly converges to level,2percent
adjust all of its instruments,aims to,ensure that inflation moves towards its aim
ensure that inflation moves towards its aim,has quality of,sustained manner
review,will be based on,thorough analysis
review,will be based on,open minds
review,will include,quantitative formulation of price stability
review,will include,monetary policy toolkit
review,will include,economic and monetary analyses
review,will include,communication practices
review,will consider,financial stability
review,will consider,employment
review,will consider,environmental sustainability
review,expected to be concluded by,bn26
